"node_id","domain","split","label","model_hash","token_hash","raw_hash","representative_file","candidate_type","candidate_line","candidate_pos","duplicate_count","function_count","all_functions","all_provenance"
"TIFF02363","target_libtiff","U95_TEST","1","5f14b123b45249dcbf61a272c2a6d8b8fcf037b48fb49441d5fcca89d35b1496","b05bcb68ee9c4f9e172eee0c134b229a7f9c18e493b3b4f31162250af3ff842d","3ce876cb108b973640979f92e8278b45e4bc5dfe5b052951483739bfcf08dbb0","cve-2013-1960.c","AU","48","10","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:48:AU:756"
"TIFF02401","target_libtiff","U95_TEST","1","6091ae584604442d35288dc000a824cde818c75489514f97d790042ae09c7bc9","8087292803b3e9b94de65ad1e5e8c3591c0b8a9535eb3f77ad6f8ec606444171","47bcda30ac5bff92f0afc82856c401521d43af57e3cac1d4145815d24524fa5b","cve-2013-1960.c","AU","58","11","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:58:AU:764"
"TIFF02454","target_libtiff","U95_TEST","1","625a479ef3ef44a727cff71d7c15653335a6c6bbe4f13ee75b0d5f8501823602","711b5a9527d03defcd35443e82ea6e527016e790d492727ae764ee36f82cb1dd","33df1644be551e4d262e6c1e12ed16b9ec0984496c20ac23f970894a083e8447","cve-2013-1960.c","AU","51","11","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:51:AU:758"
"TIFF03343","target_libtiff","U95_TEST","1","847635dde773bbd1b356c81cccbc255d3e417e530edd844516a0203ab4a70b47","e02bd07b0fc13c9015343c8e2c9fa23913fadae92ef51e9cfb77b0d5a172a815","b453915f55be4bc0771b3f55218fd77e0ddfb0537697bec4f3d5a8513b9fb507","cve-2013-1960.c","AU","34","18","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:34:AU:748"
"TIFF03345","target_libtiff","U95_TEST","1","848639f07afc12ee4f8403f2fd9555983e788ee66da1a89804f7cc46bc9e6e0d","aabf252b994bef4b855f24672941bc5a517355dd18dc7c4a5fef02fb187e556a","a3bf303fd3c4e26736f596c278fd07a000a05c2d78b3ceb3e6f8522efb9e9752","cve-2013-1960.c","AU","71","15","2","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:71:AU:770|cve-2013-1960.c:76:AU:774"
"TIFF03373","target_libtiff","U95_TEST","1","85ac79a713d3bbcbe8983977bf3cec4699ec6a8192261c7ac7e451eebc8cdf15","41dcdbec7a443df76da24275f918cfddc2c010ef46d7f1cd5417cf3b13737d78","0b207bddb78d765064379647c76cf3d58f38a7f3f1246ff1c4e94347acd426b7","cve-2013-1960.c","AU","46","10","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:46:AU:755"
"TIFF03375","target_libtiff","U95_TEST","1","85c02faf2b8d6d87d209ba03a633c76aa854edfcd29d6b642b87655a55ebb6cd","0526dd6d081f4d92d2a026c3e24a7eb32888923a09812cb03d4ce2a27aa9f9ff","47195305c0e52aa7a77e1ae443d0df90d40d8aa0d2e0ae433f61ad00ad391fb4","cve-2013-1960.c","AU","73","15","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:73:AU:771"
"TIFF03790","target_libtiff","U95_TEST","1","95b4ae7d35327d69db570a7de3357b0444e640e88ed8f7f932eb00f64c7a1d49","b1d86fbd25a5c857902e9eb36783bb087039466e83be9d0effc20dc8bf27b17b","20d331040b011f32f9bfb68a5226129c913d4c84181239873d4195a14eb49c4a","cve-2013-1960.c","AU","64","13","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:64:AU:766"
"TIFF04068","target_libtiff","U95_TEST","1","9fc27c3f59e66c21f387979c276a3a112e571eb0245397e6d81cfd5ff7d03450","5cd255b8e1efe106eba1c28c11b77cac8b494bbff7aa58cccacf713086926aa9","867cc8c843dc37840abae774ce092969198f4a42d813113c44407570a4f0b72b","cve-2013-1960.c","AU","70","15","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:70:AU:769"
"TIFF04127","target_libtiff","U95_TEST","1","a1a56b483eb5ba37eea56fd6a238fd5d71571bbed4c69181b900061f6babf275","8f79b195a62148b4ac8ab7ff5b686f9c0bdf5ac8452cd2261509c9fad57e8b9a","6bef9bbc1f8d55c1a2fbb2e4b6abc07d8d66420cacc5959e5b66902fe1e760ea","cve-2013-1960.c","AU","78","14","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:78:AU:775"
"TIFF04376","target_libtiff","U95_TEST","1","aae4df6fb2af49299ef54c89db013cb7de71a5ada38dc3af5a2013a5bab24d1b","8087292803b3e9b94de65ad1e5e8c3591c0b8a9535eb3f77ad6f8ec606444171","47bcda30ac5bff92f0afc82856c401521d43af57e3cac1d4145815d24524fa5b","cve-2013-1960.c","AU","29","9","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:29:AU:743"
"TIFF04759","target_libtiff","U95_TEST","1","b8e268e20ff2f6ac5489ffd8bb4da2f834b28fb3b0be509922915b01745cca63","5abef7b1b4bfa77fbaa67d5cb8711e63f95905d5bead41056ea13fec2f134c2a","d144992144cc0ee581cea25b3e173f366f6f51a27f247fd40265835190ced608","cve-2013-1960.c","AE","16","2","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:16:AE:740"
"TIFF04789","target_libtiff","U95_TEST","1","b9bd5e8b63919837a4f38fc08fc47a57686558bb7f5c254c08d34cce3f7845ea","a15cc748540024af9743226029a8cb10212f39dd52da5a3b03ad9866f02a2c77","82cb0a0fcf275d4891ddc75586406d7498a9d35f628197c0a9f57532a97c96f5","cve-2013-1960.c","AU","53","11","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:53:AU:760"
"TIFF05097","target_libtiff","U95_TEST","1","c5e2cf5a5caec7c6e0680c50da9637e93b2167c80a3dfb80fd621e8a22e67ded","4b6e9244fcebf99d1ab71b2bfbf8affb9cc2e8349948a08d6aef126baf6a0f50","0b81ab6c50ab038a0cc8472f44f96ad371c1a489fc6a014698d15c1fc3033814","cve-2013-1960.c","PU","79","14","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:79:PU:776"
"TIFF05102","target_libtiff","U95_TEST","1","c60e37a849ea40e3d86113918c072fc608bf5f2ca27a76844abe9aaaf94f902b","8ecd77d45ed8a5218da83623cbc220dbdf84e3e799cb42cd402a7ba533475343","1a3504220e9676b9155bbb2eaa28124f70f1aff83052dc6cbb42d66a350cb8e1","cve-2013-1960.c","AU","56","11","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:56:AU:763"
"TIFF05150","target_libtiff","U95_TEST","1","c81b59b5b5d833dd2b2d2ab6c5ae403a669772951cd66aa77e86f71ce728fbdb","862f630b560b684fb570b8fc0c14cd46c0ad4c8e1047fbdacaa7af10ec00e29e","94fc3de0051775227ea2057c400fa9228d0ac4f33c20822849bb946ef24a110b","cve-2013-1960.c","AU","41","10","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:41:AU:751"
"TIFF05323","target_libtiff","U95_TEST","1","cffc3ac26e893519579c3a99531359a63bdb12213cd61f501cd1158e99b393fc","8087292803b3e9b94de65ad1e5e8c3591c0b8a9535eb3f77ad6f8ec606444171","47bcda30ac5bff92f0afc82856c401521d43af57e3cac1d4145815d24524fa5b","cve-2013-1960.c","AU","65","13","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:65:AU:767"
"TIFF05416","target_libtiff","U95_TEST","1","d39faae5ef9deb1f18f40cf804aaaac10046e5f6a4540e68e87d05252bea81dd","a7b4df42c175b3b1a40f322917e4c90f2b8348a8051e26cfb2501e0d2b4b9a3c","7990bd8057578967cffc7a7d3b70b7610d9092c771886cfbc713c798f928e6b7","cve-2013-1960.c","AU","55","11","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:55:AU:762"
"TIFF05538","target_libtiff","U95_TEST","1","d868f6ef4c46eff386dc75147ec71b349c6ad2dd09c0e7a50318dca2007c4705","58bbc5fb19db0bb84def82a902d10834a4e42ea8551744b183bf25274813d477","48900ac55adc43e31a42d041f97ee11cb985ab4aa41030f3d3a8c2b9031ca274","cve-2013-1960.c","AU","19","6","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:19:AU:742"
"TIFF05892","target_libtiff","U95_TEST","1","e7324b8948a9a2114f420ce6d8c265b90e6fe625667fdd51f090dadf153d4778","755f9de2d73fbdc7683f95cdfcfc0aafb6809156402078817280ab4a2c74d1ab","cf800aa1c9a393b317aa7372838c478b7623da46b84b4d3ba4c3f80de2ab31a7","cve-2013-1960.c","AU","52","11","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:52:AU:759"
"TIFF05914","target_libtiff","U95_TEST","1","e80df00964f146c1e2ff7c46b33676704b0483c74d7625b6dd898293d53ad841","8087292803b3e9b94de65ad1e5e8c3591c0b8a9535eb3f77ad6f8ec606444171","47bcda30ac5bff92f0afc82856c401521d43af57e3cac1d4145815d24524fa5b","cve-2013-1960.c","AU","49","10","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:49:AU:757"
"TIFF06005","target_libtiff","U95_TEST","1","eb80e9ef998c546bc686a3af07ac13032863b37dcda1ae070024d30240ef41b6","8087292803b3e9b94de65ad1e5e8c3591c0b8a9535eb3f77ad6f8ec606444171","47bcda30ac5bff92f0afc82856c401521d43af57e3cac1d4145815d24524fa5b","cve-2013-1960.c","AU","63","12","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:63:AU:765"
"TIFF06025","target_libtiff","U95_TEST","1","ec1ff6c126b7dea6a726ac2a498599c640bae50ae63dced8b718881640bc46a4","06379cfffef480050e2463c42553758b8115e205d5ad108aa9489284d2a12bda","1af8cf2b3a491ed0cf25997f7c8055391584ea4d96a21ded128488fbecf732ca","cve-2013-1960.c","AU","54","11","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:54:AU:761"
"TIFF06226","target_libtiff","U95_TEST","1","f36d2369193606e9859012be10632ed372bcbcff1082f0545a831a547b6f506d","15c4d4ced4d9af47e6f531d200d5c9903d3c231bc8195667ce48d41ca615b74d","3d758da00e4ef9eb4f717647523e493132fa2e9ec10aec1648700606bb08f88f","cve-2013-1960.c","AU","42","10","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:42:AU:752"
"TIFF06411","target_libtiff","U95_TEST","1","fb74c85ccfe60274a65957b730d33af9b3e0683e9a639118278138377fcf3266","e02bd07b0fc13c9015343c8e2c9fa23913fadae92ef51e9cfb77b0d5a172a815","b453915f55be4bc0771b3f55218fd77e0ddfb0537697bec4f3d5a8513b9fb507","cve-2013-1960.c","AU","33","17","1","1","target_libtiff:1:cve-2013-1960.c","cve-2013-1960.c:33:AU:747"
